episode,Episode_reward,Loss
0,-8250.977176248274,
1,-8455.622137690278,
2,-9302.697923304198,
3,-8082.591959181571,
4,-9324.015803391869,
5,-8332.04832684427,238.44092627048494
6,-8099.676336135084,143.79108960628508
7,-8339.282897912693,134.88103582143785
8,-7997.6581759648225,124.28689290523529
9,-7491.752636409018,109.98820974826813
10,-9247.189870489916,99.34126691102982
11,-7219.106301531481,93.83127368927002
12,-9419.794229514384,98.76075380682946
13,-8754.772633048895,112.06881071090699
14,-6993.8823880960435,115.80135972499848
15,-7226.366519843714,107.9607721030712
16,-7544.10108096383,101.96150083184243
17,-8593.341834744535,92.84901861667633
18,-7745.490736916737,90.30367596268654
19,-6782.004846597686,89.65351779818535
20,-7139.959430774807,78.33558723330498
21,-7482.716581007856,76.8523362481594
22,-7387.073584756279,72.91550480484962
23,-7072.479682151744,75.33527625322341
24,-6428.027173032571,73.48168731093406
25,-7598.841137394267,76.78758014678955
26,-6838.821603917019,65.33166492581367
27,-7120.1617812751265,55.78794328093529
28,-6819.060315284299,50.762991099357606
29,-7037.40524415959,46.53563528239727
30,-7012.032761383305,45.38978524565697
31,-6813.22954721456,51.31242042005062
32,-5994.077422922395,48.03072298228741
33,-6201.5748542747615,47.47501429438591
34,-6709.478698704049,45.17291329741478
35,-7772.665096313911,40.76047903239727
36,-6344.0572997336185,42.606726313233374
37,-5934.851763984154,40.55991432785988
38,-6096.740623889502,38.70069933474064
39,-6408.99372000952,39.57993972718716
40,-6524.245392012888,34.6005993527174
41,-6680.699278834155,32.724567953348156
42,-6237.779173658029,34.034087960720065
43,-6600.78876495785,31.12824843645096
44,-6507.622140841838,27.716573905050755
45,-6810.518203041042,30.809567784667014
46,-6210.875460474069,33.29984648525715
47,-6277.72818359533,31.97565715312958
48,-6229.875470650456,27.76058283299208
49,-6603.448372119163,36.808830105662345
50,-6114.144708610686,29.655142062306403
51,-6203.035898660718,24.939815656244754
52,-6610.882985281657,23.822888068556786
53,-6172.084468204374,20.349303173720838
54,-7071.997550157515,19.904505874216557
55,-6289.0174962535575,21.89024415522814
56,-7033.945963793156,19.003556746840477
57,-6869.825257725006,24.611502923965453
58,-6774.956646394386,23.44634350270033
59,-7345.511743863518,22.08159237474203
60,-7434.324263451807,27.724772510528563
61,-7775.654303960848,23.917073875963688
62,-6612.997645170069,24.331401513814924
63,-7224.874234932963,21.568155324459077
64,-6812.2939923470385,20.40433899998665
65,-7078.360810896581,25.08426255941391
66,-6249.654360067411,25.867276372313498
67,-6826.39701935581,20.790997461378574
68,-7396.633391628685,20.61027938902378
69,-7906.364825879201,22.541009711921216
70,-7569.177669155241,23.029225688576698
71,-8048.246190975947,22.7792108258605
72,-8076.122826371817,21.84422475516796
73,-7024.363413118088,20.500645654201506
74,-7641.53281842867,20.121824007630348
75,-8053.906680660619,19.85405885964632
76,-7045.064761053986,22.239692439734934
77,-8080.863808181989,25.384664676487446
78,-7232.4162693888165,28.05280414223671
79,-8608.087996801607,21.297103621661662
80,-6837.047702833468,29.67385260939598
81,-6766.247498229878,22.597312398850917
82,-7696.915451717707,20.99965968310833
83,-8485.967230042794,20.320295196175575
84,-8610.970201665168,19.793349134624005
85,-7484.659586698053,20.40812538176775
86,-7814.128573930714,18.119146785736085
87,-7860.842185316448,22.70772285103798
88,-8779.486988897135,22.915319505631924
89,-9040.413453330038,21.071952993273737
90,-8607.974095393602,19.834326778650283
91,-9438.695595828018,19.73557133257389
92,-8938.524764149794,16.778110142946243
93,-7646.943547419882,17.635885093808174
94,-9000.496555164556,22.201111916601658
95,-7791.886410716032,19.458708406090736
96,-8131.904088761029,25.441181752979755
97,-8238.058388278992,23.591140775978566
98,-8552.561051705408,21.470599532425403
99,-8800.405184456864,18.84482858479023
100,-8706.911473251643,18.1656061065197
101,-8828.613025292903,18.41651430696249
102,-9028.111385588789,15.308651623129844
103,-8672.837131328437,13.09243754670024
104,-7842.333214014253,16.770929765701293
105,-8457.54245209572,16.411652433872224
106,-7771.227901522726,17.235425745099782
107,-9262.085882963363,15.833853247314691
108,-8426.905139728362,17.324368778169156
109,-7770.3532088350685,18.625802182257175
110,-8535.694795578675,20.521747977435588
111,-8916.05555315099,20.159478107988836
112,-7700.37763509567,17.595685888528823
113,-9047.284611527059,19.164630415439607
114,-7692.610642746831,18.363867254704235
115,-8716.474229952028,20.25530532479286
116,-8102.220569537529,19.948475060164927
117,-9162.69489274276,19.34695028036833
118,-8965.50224778475,23.257148999273777
119,-8096.505791940157,18.1213358476758
120,-7917.683734080372,18.375655425786974
121,-8552.416983070254,15.786494401097297
122,-8403.951306120422,16.924910301566126
123,-9192.73969830333,16.029867894500494
124,-9252.116664962488,18.387296933829784
125,-8881.21460321142,15.974729023426772
126,-8244.317008059967,13.720288445204496
127,-8911.01363322014,26.940077255368234
128,-8534.999922387373,19.670385815948247
129,-9161.635505337881,18.984780127704145
130,-9182.066202896009,18.368805488944055
131,-9181.875139478563,22.109833981394768
132,-8819.356612199168,18.752733834981917
133,-8488.466992419482,17.62333181798458
134,-9207.212769693155,16.618021431267262
135,-8392.816267564951,18.40631509631872
136,-8122.296765395863,15.844196871370077
137,-9345.134334261273,15.20126336634159
138,-9664.672088279114,15.250813800394535
139,-9090.26059233492,20.12207420527935
140,-8865.71309353381,17.223146754801274
141,-8203.539363230837,16.133488413393497
142,-9851.4022277009,13.469983838647604
143,-9058.770967329501,24.268895836174487
144,-8496.442138121873,22.41404881298542
145,-8479.743393064864,17.520414151847362
146,-9483.968138793834,14.667851414978504
147,-8027.71874823953,13.495400926172733
148,-8269.501669495707,16.59404988437891
149,-8704.148115873206,20.976509743928908
150,-8802.47681424073,20.108760825097562
151,-9302.31134116881,17.130545433163643
152,-8430.374073946563,14.989689745306968
153,-9139.968132614968,21.139712125360965
154,-8103.971328415554,16.87315369039774
155,-8889.140519266672,14.857899792194367
156,-7959.801563224652,14.479737155288458
157,-8998.928950840787,15.732389222979545
158,-7876.186019553349,15.767832027673721
159,-8593.062839965458,16.957330256700516
160,-9179.695362210188,15.924309142529964
161,-8847.567795063436,14.831900866925716
162,-8544.707610990243,15.219072795212268
163,-8086.819818951172,13.279772689342499
164,-8891.062202717916,12.382810127288103
165,-8385.772388703912,12.661197952628136
166,-9356.930210457696,12.790633206814528
167,-9773.129048086317,14.846757512390614
168,-9480.283201498123,15.55399336397648
169,-9214.886287480738,19.123607806563378
170,-7806.7460983056935,16.298347935676574
171,-7977.53202422606,13.525651023834945
172,-8403.59119696391,13.098012336045503
173,-9535.98205946785,17.508119339942933
174,-8999.872905119755,13.677737180292606
175,-7921.821402965013,14.252292312979698
176,-8517.632315650535,12.810461540222168
177,-7600.518926913933,13.227881524711847
178,-7801.347275694775,12.8424467946589
179,-8994.71223974211,14.405301852822303
180,-8630.090102293912,13.207919936478138
181,-9300.460457165173,13.068907691687345
182,-9238.310532177104,14.610302309095859
183,-8835.959007238062,13.025224156975746
184,-8696.069413637644,16.367464708834888
185,-8399.310665736051,14.014235328137875
186,-9663.024130400137,13.698783107697963
187,-9176.538049421872,14.629977575987578
188,-10002.814643294725,22.634538474977017
189,-8453.660036937395,21.514541228115558
190,-7521.61593971616,24.95140725284815
191,-8151.86759135535,20.641172831654547
192,-8925.930928285656,16.952934925556182
193,-9641.45559842782,18.183494194447995
194,-9487.17608545209,18.79395297139883
195,-8306.157908925177,17.640666245222093
196,-7627.196454234849,15.658334052562713
197,-8268.223030872581,14.633635630756617
198,-9097.061547246605,14.555916389226914
199,-9539.00467941906,15.469799125939607
