episode,Episode_reward,Loss
0,-561.1327259797699,10.617253821119666
1,-668.2049689080723,6.8490263328701255
2,-330.2270501631231,6.39552773617208
3,-1064.5284094934416,9.241214142292739
4,-1092.1151915661321,13.71494956202805
5,-1168.6618621604116,11.93778027638793
6,-1119.2445786278593,1082.0022419767827
7,-625.5303850550926,8.451930589526892
8,-778.7602749995315,215.7016839130968
9,-959.5076397752046,254.23107342869042
10,-1018.398581116043,240.9771650315076
11,-344.60158650377025,75.15215730786323
12,-566.9669910661808,247.39099987648427
13,-159.16073083487186,319.70890239417554
14,-1238.755694869673,244.12036974333228
15,-891.9785951045443,122.99521932862699
16,-750.3100864618565,163.01099250242115
17,-342.7590201448441,224.7885868192464
18,-687.1473541398829,258.4625652706623
19,-986.1648968635218,262.5739194933325
20,-384.1754097839663,151.71989346452057
21,-1087.800114117113,250.06961667105554
22,-860.089171365971,120.75783379249275
23,-801.5303783031133,234.61562275674194
24,-803.9964914149616,359.36341553129256
25,-802.6675241949581,7.698877090066671
26,-73.25194796341555,245.9858136813715
27,-627.3885945727473,189.18449250549077
28,-474.94825207668566,6.893418108895421
29,-688.3516997819083,223.0911892271042
30,-341.1437192620883,144.766870848611
31,-246.52185192532173,225.17175384957343
32,-562.9169054186111,57.04725293241441
33,-1079.8708202544826,234.73419498987496
34,-1231.0161491317392,25.468586623072625
35,-1208.2409573775994,189.1552463878691
36,-1168.127396700883,165.9291626793146
37,-1207.098214776847,183.34684783741832
38,-1044.3445331277514,185.8303307658434
39,143.02115999404663,131.12327658876777
40,-629.6125611891072,163.5990933752805
41,-1145.5314804480427,7.387416152954102
42,-632.6065279574851,175.9332816020027
43,-527.5874489276737,170.26112884748727
44,-285.9056021823013,3.9984243365004657
45,-258.9573132368221,142.58674077287316
46,-639.1568465669665,158.7662920934707
47,-813.5287460842168,5.953897365815937
48,-690.020431821224,216.2702155755088
49,-416.84879675794576,87.44617462541908
50,70.93700868321734,61.141823273971674
51,-1005.6855984634079,152.31211854878813
52,-841.3287608429135,117.64861302856356
53,-1054.3995034535237,151.72128396067768
54,-1105.9828173593532,76.83478456515819
55,-1068.7540961794734,153.17237518515438
56,-670.522556348525,28.17984660886228
57,-1102.6963625373994,139.1296772615239
58,-45.00626599989274,137.1741241759807
59,-298.25253741057463,158.0045599578321
60,-386.23287763588013,65.62124696720392
61,-519.0106287271755,117.21029239531606
62,-680.36557758394,208.60622093241662
63,-516.1474194095234,7.760047293268144
64,-334.1628709394952,111.33442780543119
65,-640.8411136242472,80.78352154880763
66,-762.0510673369631,79.61811361316592
67,-969.186906026021,116.06783070065082
68,-829.4543742314642,112.90133613381535
69,-684.1591957539167,232.85332416012884
70,-707.6188982241918,9.723638774454594
71,-686.8797862606372,91.74162644207478
72,-898.4688110265283,85.12261799231172
73,-700.5593195084009,69.87890383891761
74,-710.2554348732822,89.79628151100128
75,-356.12913370775476,90.40069686122239
76,-109.77923786443534,63.28354451440275
77,-960.9668757698648,56.877944493070245
78,-648.1737626611206,64.67168511159718
79,-75.01863859273088,58.4979196537286
80,-163.76573288346003,48.24283417358995
81,-140.44391856481585,63.36611674841493
82,-785.632273104862,51.69849990237504
83,-96.18244813360761,60.51454638015479
84,-780.0136882148975,48.625602969639004
85,-164.36028061869416,68.65340953662991
86,-445.6880360255116,49.66150010023266
87,-523.040734030379,41.910406934805216
88,-286.1225112948272,27.524672630652784
89,-488.82662599288426,72.3059802025184
90,-122.79339867328349,5.5874207512661815
91,-809.9828269846248,7.178203070648014
92,-224.19843166693607,7.447294282354415
93,-1041.0413411696454,6.28490709066391
94,-1375.1752650309659,8.740443432405591
95,-42.7240376006081,5.5235951565951105
96,-1120.4432535513622,6.586722380332649
97,-792.4247277509484,6.05697639990598
98,-113.43622954777939,4.422630208656192
99,-485.2309646805741,5.321269078627228
100,-283.02480408792866,4.028253256678581
101,-317.24332582619337,4.063710310794413
102,-451.39500312415606,4.142433770783246
103,79.15212971537798,2.9994577984139323
104,-16.502484579034345,3.189283388592303
105,181.24765025773098,3.27796825915575
106,-968.7906612214659,3.9252842615917327
107,34.790022958553465,2.19092465126887
108,-927.4101814229531,2.8977661503478886
109,-112.73656941948894,3.900373075939715
110,-379.2927125354976,2.9678893495723604
111,-464.38505406601035,4.565843942388892
112,-1308.9997830936552,6.373705039471388
113,-1443.3408180919612,6.723548841699958
114,-848.8605031713166,6.588157442994416
115,-293.95018490794183,5.272610335238278
116,47.400716061786206,3.818017734400928
117,-0.8417482750979932,4.580682766735554
118,-107.90809331996017,4.341462694443762
119,-857.4129910988796,4146.224169078991
120,-236.8026056611801,674.0753221624344
121,-102.47532476027996,5.021199191398918
122,-361.27690889055225,6.9201284578815105
123,-224.34274828943327,22.02165281895548
124,-542.198778964752,72.74555567465723
125,-188.60835916763418,26.04380819350481
126,-456.3586989841287,102.63164547320456
127,214.72093699024012,120.96184801870957
128,-129.02303485159817,37.66366516701877
129,135.0006791869678,82.79369736075401
130,-328.3153117696609,82.86404704574495
131,-264.2892992622135,103.98521537780762
132,-863.5310410464484,50.02233372874558
133,-281.2502513481892,110.3608082775399
134,-200.2511957806079,88.34597739923746
135,-65.594763452511,3.8102639892324803
136,-519.5239539649914,4.36989396058023
137,-161.33533825391814,4.1616213105618955
138,-291.3340890082994,5.193117172420025
139,-421.87975615745927,5.239465862996877
140,225.62669286736767,2.8574845363944767
141,55.23343095667953,2.697139239702374
142,-347.6112134199403,3.3598042927123606
143,-269.6010037199111,3.153181699886918
144,-9.817443496323826,3.2879448611289264
145,46.06530440694062,238.72174636378884
146,90.47721119553069,11.81087239149958
147,98.88662253395769,49.57847215589136
148,-26.585586310374637,68.77022093221545
149,413.7166576944502,62.17913686674088
150,383.27832102002475,71.05708356495947
151,-20.306426500363834,48.98221876531839
152,56.42421494254669,72.67204721558839
153,-369.9338753083178,45.904725443217906
154,28.956294798419286,46.8334054864198
155,-217.06033553644548,31.310203514918683
156,-432.78545021063115,63.080548709165306
157,-227.97085211331506,51.264307613410054
158,-223.64857593298015,26.553276450578124
159,-20.131479278613043,54.86095317725092
160,-453.3583622844181,89.84480330916122
161,-56.494477154918,45.72346493523568
162,59.832797869445834,29.73150430297479
163,420.1324034651703,2.45614409789443
164,-4.698768842486347,2.3514352555386724
165,-29.618081932782307,2.3357468638941645
166,-360.0152461230619,3.023347266316414
167,164.91796378194545,92.64009018430487
168,-50.22062942013769,31.47440859273076
169,-597.4762357873616,44.29834127241745
170,377.284155194679,47.396830172967164
171,133.98169475625534,69.38887357560918
172,204.20569614361492,4.449791088476777
173,76.65671607341463,34.027052768822756
174,-44.792238284221895,64.39682950563729
175,18.851620069768686,48.96053900308907
176,-356.32393158154457,32.59795449918136
177,106.8693593204394,34.92264543417841
178,141.51969708391925,29.399251763690263
179,-583.6445487942636,46.869907039888204
180,-382.9158535627692,49.98433247009292
181,-678.7399184886921,36.34356029558927
182,-132.19566425265216,3.6064951348491014
183,484.3756741495579,2.1794188758824022
184,-73.33453951324748,1.8034361376520247
185,492.2298972629327,2.0569109709560873
186,-108.46807431469047,1.5869300618488342
187,-34.52776188023521,1.9203283174242824
188,-205.42629515685093,2.5459892019443213
189,-668.521735887905,3.1225205460190772
190,-26.435293556325608,4.257210253980011
191,174.56150852373983,4.083812412023544
192,4.798104243487815,4.424264200460166
193,-478.16764843548304,4.903080744482577
194,-78.49344757884359,4.033532738871872
195,233.0229560397398,2.5571180686354635
196,60.30402085879146,2.6019354015495626
197,65.98960367235354,93.44357595817186
198,-48.22151037496248,2.255879679992795
199,146.081557618094,55.843665359281005
